"region","utgiftsslag","2006","2007","2008","2009"
"SKL1 storstäder (3)","kött",2.2,1.9,2.2,2.0
"SKL1 storstäder (3)","fisk och skaldjur",0.8,0.7,0.7,0.9
"SKL1 storstäder (3)","frukt och bär",1.1,1.1,1.1,1.2
"SKL1 storstäder (3)","kaffe",0.3,0.3,0.3,0.2
"SKL1 storstäder (3)","drift av bil",4.1,4.9,5.2,4.6
"SKL1 storstäder (3)","resor, hotell",5.2,5.8,6.1,5.4
"SKL2 förortskommuner (38)","kött",2.4,2.3,2.4,2.6
"SKL2 förortskommuner (38)","fisk och skaldjur",1.0,0.8,0.9,0.9
"SKL2 förortskommuner (38)","frukt och bär",1.2,1.2,1.1,1.0
"SKL2 förortskommuner (38)","kaffe",0.2,0.2,..,0.3
"SKL2 förortskommuner (38)","drift av bil",6.7,7.0,7.0,7.0
"SKL2 förortskommuner (38)","resor, hotell",4.2,4.4,5.2,5.4
"SKL3 större städer (27)","kött",2.4,2.2,2.7,2.4
"SKL3 större städer (27)","fisk och skaldjur",0.7,0.7,0.8,0.7
"SKL3 större städer (27)","frukt och bär",1.1,1.1,1.2,1.1
"SKL3 större städer (27)","kaffe",0.3,..,..,..
"SKL3 större städer (27)","drift av bil",7.6,7.1,8.2,6.6
"SKL3 större städer (27)","resor, hotell",3.8,4.7,4.6,..
"SKL4 pendlingskommuner (41)","kött",2.8,2.8,2.7,3.0
"SKL4 pendlingskommuner (41)","fisk och skaldjur",0.7,1.1,0.9,1.0
"SKL4 pendlingskommuner (41)","frukt och bär",1.1,1.2,1.3,1.2
"SKL4 pendlingskommuner (41)","kaffe",0.3,0.3,0.2,0.3
"SKL4 pendlingskommuner (41)","drift av bil",10.2,10.1,8.3,9.2
"SKL4 pendlingskommuner (41)","resor, hotell",3.7,2.9,4.3,3.7
"SKL5 glesbygdskommuner (39)","kött",2.5,1.9,2.7,4.6
"SKL5 glesbygdskommuner (39)","fisk och skaldjur",0.8,0.5,1.1,0.8
"SKL5 glesbygdskommuner (39)","frukt och bär",1.2,0.8,1.0,0.9
"SKL5 glesbygdskommuner (39)","kaffe",0.4,0.4,0.2,0.6
"SKL5 glesbygdskommuner (39)","drift av bil",10.3,14.4,14.6,8.8
"SKL5 glesbygdskommuner (39)","resor, hotell",1.8,2.4,2.6,2.6
"SKL6 varuproducerande kommuner (40)","kött",2.3,2.9,3.1,3.1
"SKL6 varuproducerande kommuner (40)","fisk och skaldjur",0.8,0.8,0.8,1.0
"SKL6 varuproducerande kommuner (40)","frukt och bär",1.2,1.1,1.4,1.3
"SKL6 varuproducerande kommuner (40)","kaffe",0.3,0.3,0.4,0.3
"SKL6 varuproducerande kommuner (40)","drift av bil",10.4,10.5,9.4,9.4
"SKL6 varuproducerande kommuner (40)","resor, hotell",3.0,3.8,3.8,3.4
"SKL7 övriga kommuner, över 25 000 inv. 2003 (34)","kött",2.5,2.6,2.4,3.2
"SKL7 övriga kommuner, över 25 000 inv. 2003 (34)","fisk och skaldjur",0.6,0.9,0.7,1.1
"SKL7 övriga kommuner, över 25 000 inv. 2003 (34)","frukt och bär",1.0,1.2,1.0,1.3
"SKL7 övriga kommuner, över 25 000 inv. 2003 (34)","kaffe",0.3,0.3,0.2,0.3
"SKL7 övriga kommuner, över 25 000 inv. 2003 (34)","drift av bil",9.5,8.8,9.0,8.6
"SKL7 övriga kommuner, över 25 000 inv. 2003 (34)","resor, hotell",3.2,4.1,3.9,3.2
"SKL8 övriga kommuner, 12 500-25 000 inv. 2003 (37)","kött",2.8,2.5,3.1,2.7
"SKL8 övriga kommuner, 12 500-25 000 inv. 2003 (37)","fisk och skaldjur",0.9,0.8,0.8,0.9
"SKL8 övriga kommuner, 12 500-25 000 inv. 2003 (37)","frukt och bär",1.2,1.1,1.2,1.2
"SKL8 övriga kommuner, 12 500-25 000 inv. 2003 (37)","kaffe",0.4,0.3,0.2,0.3
"SKL8 övriga kommuner, 12 500-25 000 inv. 2003 (37)","drift av bil",9.9,10.3,10.9,10.2
"SKL8 övriga kommuner, 12 500-25 000 inv. 2003 (37)","resor, hotell",2.6,3.4,2.8,4.4
"SKL9 övriga kommuner, mindre än 12 500 inv. 2003 (31)","kött",2.3,3.6,3.3,2.7
"SKL9 övriga kommuner, mindre än 12 500 inv. 2003 (31)","fisk och skaldjur",0.7,1.1,0.6,0.7
"SKL9 övriga kommuner, mindre än 12 500 inv. 2003 (31)","frukt och bär",1.1,1.0,1.1,1.0
"SKL9 övriga kommuner, mindre än 12 500 inv. 2003 (31)","kaffe",0.5,0.4,0.5,0.4
"SKL9 övriga kommuner, mindre än 12 500 inv. 2003 (31)","drift av bil",9.4,11.9,10.0,9.0
"SKL9 övriga kommuner, mindre än 12 500 inv. 2003 (31)","resor, hotell",2.0,2.6,3.2,2.4
