Län,2009,2010,2011,2012,2013
Blekinge län,1206,1185,1171,1155,1146
Dalarnas län,1195,1197,1183,1163,1150
Gotlands län,1069,1053,1042,1020,1000
Gävleborgs län,1194,1189,1179,1158,1148
Hallands län,1258,1238,1224,1206,1192
Jämtlands län,1210,1208,1199,1186,1173
Jönköpings län,1263,1245,1243,1224,1211
Kalmar län,1224,1220,1202,1185,1169
Kronobergs län,1251,1244,1227,1213,1199
Norrbottens län,1187,1184,1175,1145,1137
Skåne län,1228,1213,1196,1176,1157
Stockholms län,1209,1192,1170,1152,1130
Södermanlands län,1237,1220,1208,1187,1164
Uppsala län,1281,1271,1257,1238,1223
Värmlands län,1230,1231,1220,1206,1190
Västerbottens län,1181,1183,1178,1145,1135
Västernorrlands län,1189,1186,1181,1157,1143
Västmanlands län,1216,1203,1192,1171,1153
Västra Götalands län,1268,1251,1238,1222,1203
Örebro län,1217,1205,1196,1176,1166
Östergötlands län,1231,1214,1202,1183,1167
