"region","produktionssätt","bränsletyp","2009","2010","2011","2012","2013"
"00 Riket","kraftvärmeverk + industriellt mottryck","elproduktion",15822643,18905397,16881147,15551721,14922809
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)",1070912,..,915671,..,514038
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)",2986870,..,..,2485721,..
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)",3803633,5645114,5132547,3388277,3188282
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (förnybara)",4915124,5102581,4557074,..,..
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (förnybara)",6605419,9093192,9511062,..,8224739
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (förnybara)",..,36175,34259,27042,18612
"00 Riket","kraftvärmeverk + industriellt mottryck","summa produktionssätt",..,24459767,..,20359963,19379608
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion",50724174,56263599,..,62275094,64490134
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)",413902,720304,119199,196271,76127
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)",0,161350403,..,174416173,178359369
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)",0,0,0,0,0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)",0,0,0,0,0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)",0,0,..,0,0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)",0,0,0,0,0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","summa produktionssätt",413902,162070707,162546396,174612444,178435496
"00 Riket","vattenkraft","elproduktion",65163738,66759779,66679146,78468555,61010920
"00 Riket","vattenkraft","flytande (icke förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","fast (icke förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","gas (icke förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","flytande (förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","fast (förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","gas (förnybara)",0,0,0,0,0
"00 Riket","vattenkraft","summa produktionssätt",0,0,0,0,0
"00 Riket","vindkraft","elproduktion",..,..,..,7165230,9842204
"00 Riket","vindkraft","flytande (icke förnybara)",..,..,..,0,0
"00 Riket","vindkraft","fast (icke förnybara)",..,..,..,0,0
"00 Riket","vindkraft","gas (icke förnybara)",..,..,..,0,0
"00 Riket","vindkraft","flytande (förnybara)",..,..,..,0,0
"00 Riket","vindkraft","fast (förnybara)",..,..,..,0,0
"00 Riket","vindkraft","gas (förnybara)",..,..,..,0,0
"00 Riket","vindkraft","summa produktionssätt",..,..,..,0,0
