"region","förbrukarkategori","bränsletyp","2009","2010","2011","2012","2013"
"00 Riket","slutanv. småhus","flytande (icke förnybara)",520744,626496,389348,..,355390
"00 Riket","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"00 Riket","slutanv. småhus","fast (förnybara)",12999699,12351158,11932235,11524691,11069694
"00 Riket","slutanv. småhus","gas (förnybara)",0,0,0,0,0
"00 Riket","slutanv. småhus","fjärrvärme",5354914,..,5151327,5638034,5485476
"00 Riket","slutanv. småhus","el",27709761,..,..,..,25161619
"00 Riket","slutanv. småhus","summa förbrukarkategori",46585118,46732361,..,43044133,42072179
"00 Riket","slutanv. flerbostadshus","flytande (icke förnybara)",243365,290111,190650,..,94690
"00 Riket","slutanv. flerbostadshus","fast (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. flerbostadshus","gas (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. flerbostadshus","flytande (förnybara)",0,0,0,0,0
"00 Riket","slutanv. flerbostadshus","fast (förnybara)",0,0,0,0,0
"00 Riket","slutanv. flerbostadshus","gas (förnybara)",0,0,0,0,0
"00 Riket","slutanv. flerbostadshus","fjärrvärme",22879121,28727879,24531918,26147870,25213165
"00 Riket","slutanv. flerbostadshus","el",5976504,6246062,..,..,6305331
"00 Riket","slutanv. flerbostadshus","summa förbrukarkategori",29098990,35264052,..,32699098,31613186
"00 Riket","slutanv. fritidshus","flytande (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","fast (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","gas (icke förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","flytande (förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","fast (förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","gas (förnybara)",0,0,0,0,0
"00 Riket","slutanv. fritidshus","fjärrvärme",0,0,0,0,0
"00 Riket","slutanv. fritidshus","el",0,3240009,2749324,3042847,2964083
"00 Riket","slutanv. fritidshus","summa förbrukarkategori",0,3240009,2749324,3042847,2964083
"01 Stockholms län","slutanv. småhus","flytande (icke förnybara)",99761,91381,68870,44844,50241
"01 Stockholms län","slutanv. småhus","fast (icke förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. småhus","gas (icke förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. småhus","flytande (förnybara)",0,0,0,0,0
"01 Stockholms län","slutanv. småhus","fast (förnybara)",459871,602443,582677,562131,..
"01 Stockholms län","slutanv. småhus","gas (förnybara)",0,0,0,0,0
