"användningsområde (senaste tre månaderna)","2008","2009","2010","2011","2012","2013"
"permanenta bostäder, småhus med förbrukning över 10 000 kWh",20024,20363,23080,19529,20719,20357
"permanenta bostäder, småhus med förbrukning högst 10 000 kWh",5144,4498,4700,4789,4919,4805
"permanenta bostäder, småhus med enbart elvärme",0,0,0,0,0,0
"permanenta bostäder, småhus med elvärme i komb. med andra energislag",0,0,0,0,0,0
"permanenta bostäder, småhus utan elvärme",0,0,0,0,0,0
"permanenta bostäder, flerbostadshus, direktlev. med förbrukning över 5 000 kWh",1131,1396,1461,1737,1598,1584
"permanenta bostäder, flerbostadshus, direktlev. med förbrukning högst 5 000 kWh",4347,4203,4276,4321,4219,4180
"permanenta bostäder, flerbostadshus med elvärme, direktleveranser",0,0,0,0,0,0
"permanenta bostäder, flerbostadshus utan elvärme, direktleveranser",0,0,0,0,0,0
"permanenta bostäder, flerbostadshus, kollektivleveranser",516,476,502,577,588,541
"fritidsbostäder",2320,2998,3263,2749,3043,2964
"summa slutlig förbrukning inom landet exkl. förluster",133544,128303,135178,130579,131904,129192
