Län,AntalMiljöbilar,VaravAvställda,AntalPersonbilarIlänet,ProcentuellAndelMiljöbilar
Stockholms län,	135035,6453,967740,13.95
Uppsala län,14837,775,189351,7.83
Södermanlands län,12633,361,161297,7.83 
Östergötlands län,21868,632,242286,9.03
Jönköpings län,15991,611,207624,7.70
Kronobergs län,9591,462,116400,8.24
Kalmar län,10997,369,155194,7.09
Gotlands län,2 071,69,43728,4.74
Blekinge län,7123,246,96033,7.42
Skåne län,57299,2050,705447,8.12
Hallands län,16016,537,186046,8.61
Västra Götalands län,97529,4269,886650,11.00
Värmlands län,11844,292,195272,6.06
Örebro län,12790,367,171065,7.48
Västmanlands län,10940,412,150470,7.27
Dalarnas län,10346,303,200661,5.16
Gävleborgs län,10689,338,184001,5.81
Västernorrlands län,9983,315,169743,5.88
Jämtlands län,3608,240,97717,3.69
Västerbottens län,8782,306,171086,5.13
Norrbottens län,7244,188,183782,3.94
