"region","1995","2000","2005","2010"
"01 Stockholms län",1725756,1823210,1889945,2054343
"03 Uppsala län",288475,294196,304367,335882
"04 Södermanlands län",258700,256033,261895,270738
"05 Östergötlands län",416443,411345,416303,429642
"06 Jönköpings län",329595,327829,330179,336866
"07 Kronobergs län",180377,176639,178443,183940
"08 Kalmar län",243372,235391,233944,233536
"09 Gotlands län",58120,57313,57488,57269
"10 Blekinge län",152737,150392,150696,153227
"12 Skåne län",1111731,1129424,1169464,1243329
"13 Hallands län",269338,275004,285868,299484
"14 Västra Götalands län",1482501,1494641,1528455,1580297
"17 Värmlands län",284011,275003,273288,273265
"18 Örebro län",276417,273615,274121,280230
"19 Västmanlands län",261101,256889,261391,252756
"20 Dalarnas län",289956,278259,275755,277047
"21 Gävleborgs län",288509,279262,275994,276508
"22 Västernorrlands län",258290,246903,243736,242625
"23 Jämtlands län",135584,129566,127028,126691
"24 Västerbottens län",260472,255640,257652,259286
"25 Norrbottens län",266011,256238,251740,248609
