"region","drivmedel","2010M01","2010M02","2010M03","2010M04","2010M05","2010M06","2010M07","2010M08","2010M09","2010M10","2010M11","2010M12"
"00 Riket","bensin",5876,6012,10201,10457,10489,11517,8342,9017,9704,8973,8888,8752
"00 Riket","diesel",7270,9329,13018,13255,12561,15028,10887,11695,13998,14729,15027,17485
"00 Riket","el",1,0,1,1,0,1,0,1,0,3,0,3
"00 Riket","elhybrid",281,258,438,334,325,273,152,277,363,366,353,300
"00 Riket","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"00 Riket","etanol/etanol flexifuel",2359,2633,3053,3094,3297,3513,2050,2451,2961,3098,3330,3626
"00 Riket","gas/gas flexifuel",561,670,616,630,601,705,573,629,547,555,484,434
"00 Riket","övriga bränslen",4,0,4,0,2,2,1,4,0,1,1,4
"01 Stockholms län","bensin",1343,1314,2307,2497,2420,2599,1821,1982,2226,1901,2124,2054
"01 Stockholms län","diesel",1786,2314,3158,3298,2987,3764,2680,2687,3333,3628,3767,4440
"01 Stockholms län","el",0,0,1,0,0,0,0,0,0,0,0,3
"01 Stockholms län","elhybrid",117,124,168,132,160,141,75,127,144,152,149,118
"01 Stockholms län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"01 Stockholms län","etanol/etanol flexifuel",608,877,911,904,1018,1314,564,653,710,948,1007,1065
"01 Stockholms län","gas/gas flexifuel",204,224,217,224,208,357,237,303,173,224,244,236
"01 Stockholms län","övriga bränslen",1,0,0,0,0,1,0,2,0,0,0,1
"03 Uppsala län","bensin",198,191,269,359,335,353,359,298,259,247,243,257
"03 Uppsala län","diesel",228,350,424,467,393,567,465,421,546,472,451,637
"03 Uppsala län","el",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","elhybrid",4,13,10,10,9,8,3,4,9,12,9,7
"03 Uppsala län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"03 Uppsala län","etanol/etanol flexifuel",74,78,90,96,77,77,51,35,59,127,80,102
"03 Uppsala län","gas/gas flexifuel",18,19,22,16,18,18,10,16,10,18,12,6
"03 Uppsala län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,1,0
"04 Södermanlands län","bensin",159,161,260,277,260,295,231,222,203,264,230,211
"04 Södermanlands län","diesel",182,242,301,320,306,322,234,246,355,335,331,384
"04 Södermanlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","elhybrid",9,5,10,3,4,2,0,5,11,5,7,0
"04 Södermanlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"04 Södermanlands län","etanol/etanol flexifuel",60,80,63,51,72,46,35,58,60,54,58,76
"04 Södermanlands län","gas/gas flexifuel",19,15,19,18,16,5,8,19,10,6,10,5
"04 Södermanlands län","övriga bränslen",1,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","bensin",216,238,357,409,414,483,329,353,428,414,378,360
"05 Östergötlands län","diesel",260,355,498,552,468,561,395,461,583,592,571,656
"05 Östergötlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","elhybrid",10,7,15,21,14,10,4,12,21,17,15,11
"05 Östergötlands län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"05 Östergötlands län","etanol/etanol flexifuel",104,104,136,111,137,139,90,138,215,136,115,146
"05 Östergötlands län","gas/gas flexifuel",14,36,21,20,24,15,15,21,20,34,15,15
"05 Östergötlands län","övriga bränslen",0,0,0,0,0,0,0,1,0,0,0,0
"06 Jönköpings län","bensin",345,280,461,486,434,482,374,440,391,424,406,388
"06 Jönköpings län","diesel",325,383,569,551,563,641,437,552,601,620,660,695
"06 Jönköpings län","el",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","elhybrid",9,4,10,16,16,12,7,7,11,8,12,19
"06 Jönköpings län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"06 Jönköpings län","etanol/etanol flexifuel",160,137,120,124,122,96,92,112,117,98,98,142
"06 Jönköpings län","gas/gas flexifuel",13,29,20,28,18,12,8,17,18,15,3,16
"06 Jönköpings län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","bensin",158,131,215,266,220,211,206,231,212,250,178,201
"07 Kronobergs län","diesel",178,202,319,305,301,343,241,227,335,333,314,366
"07 Kronobergs län","el",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","elhybrid",4,2,9,4,2,1,3,5,2,6,2,5
"07 Kronobergs län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"07 Kronobergs län","etanol/etanol flexifuel",49,51,49,58,74,51,44,66,103,53,64,56
"07 Kronobergs län","gas/gas flexifuel",1,7,2,7,15,10,6,14,16,5,4,1
"07 Kronobergs län","övriga bränslen",0,0,0,0,0,0,0,0,0,0,0,0
"08 Kalmar län","bensin",132,157,232,234,215,251,192,204,216,229,179,205
"08 Kalmar län","diesel",138,165,256,268,232,283,193,249,299,281,288,299
"08 Kalmar län","el",0,0,0,0,0,0,0,0,0,0,0,0
"08 Kalmar län","elhybrid",8,3,9,8,4,4,0,4,8,2,12,1
"08 Kalmar län","laddhybrid",0,0,0,0,0,0,0,0,0,0,0,0
"08 Kalmar län","etanol/etanol flexifuel",57,52,61,54,74,48,40,70,50,72,126,107
"08 Kalmar län","gas/gas flexifuel",4,8,6,8,7,4,2,9,4,7,1,1
"08 Kalmar län","övriga bränslen",0,0,1,0,0,0,0,0,0,0,0,0
"09 Gotlands län","bensin",21,27,45,39,48,62,35,20,47,22,42,33
"09 Gotlands län","diesel",20,33,47,43,54,67,31,45,66,45,43,48
"09 Gotlands län","el",0,0,0,0,0,0,0,0,0,0,0,0
