"region","användargrupp","1995","2000","2005","2010"
"01 Stockholms län","hushåll",125347,130832,127908,137582
"03 Uppsala län","hushåll",19745,20448,19573,20519
"04 Södermanlands län","hushåll",18361,18711,14289,14805
"05 Östergötlands län","hushåll",29635,29639,22266,22119
"06 Jönköpings län","hushåll",20819,20084,19469,19479
"07 Kronobergs län","hushåll",10631,10468,9946,9844
"08 Kalmar län","hushåll",15473,15288,14128,14588
"09 Gotlands län","hushåll",3872,3775,3518,3673
"10 Blekinge län","hushåll",9913,10442,8124,7789
"12 Skåne län","hushåll",79018,78078,72968,73728
"13 Hallands län","hushåll",17739,18498,17586,16038
"14 Västra Götalands län","hushåll",96123,97663,91447,93150
"17 Värmlands län","hushåll",19199,19073,16605,16593
"18 Örebro län","hushåll",19799,19114,17165,16536
"19 Västmanlands län","hushåll",19179,18726,15763,15254
"20 Dalarnas län","hushåll",20419,20084,17403,17968
"21 Gävleborgs län","hushåll",21034,18484,17394,19192
"22 Västernorrlands län","hushåll",20812,18093,15124,15140
"23 Jämtlands län","hushåll",10573,12481,9536,9285
"24 Västerbottens län","hushåll",18125,17908,16190,16003
"25 Norrbottens län","hushåll",20609,20421,14898,16357
